id	clade	short-clade	subclade	country	iso_3166_1_alpha2
A_Croatia_10136RV_2023	3C.2a1b.2a.2a.3a.1	2a.3a.1	J.2		
A_Thailand_8_2022_HA	3C.2a1b.2a.2a.3a.1	2a.3a.1	J		
A_Darwin_6_2021_HA	3C.2a1b.2a.2a	2a	G.1		
A/South_Africa/R07876/202023	3C.2a1b.2a.2a.3a.1	2a.3a.1	J	South Africa	ZA
A/Kenya/KNH13125/Human/2025	3C.2a1b.2a.2a.3a.1	2a.3a.1	J.2	Kenya	KE
A/Mauritius/1186307/2024	3C.2a1b.2a.2a.3a.1	2a.3a.1	J.2.2	Mauritius	MU
A/Mauritius/1186304/2024	3C.2a1b.2a.2a.3a.1	2a.3a.1	J.2	Mauritius	MU
A/Mauritius/1186264/2024	3C.2a1b.2a.2a.3a.1	2a.3a.1	J.2.1	Mauritius	MU
A/Mauritius/1186095/2024	3C.2a1b.2a.2a.3a.1	2a.3a.1	J.2.2	Mauritius	MU
A/Ghana/7555/2024	3C.2a1b.2a.2a.3a.1	2a.3a.1	J.2	Ghana	GH
A/Ghana/7376/2024	3C.2a1b.2a.2a.3a.1	2a.3a.1	J.2	Ghana	GH
A/Ghana/7129/2024	3C.2a1b.2a.2a.3a.1	2a.3a.1	J.2	Ghana	GH
A/Ghana/7019/2024	3C.2a1b.2a.2a.3a.1	2a.3a.1	J.2	Ghana	GH
A/Ghana/6229/2024	3C.2a1b.2a.2a.3a.1	2a.3a.1	J.2	Ghana	GH
A/Ghana/6173/2024	3C.2a1b.2a.2a.3a.1	2a.3a.1	J.2	Ghana	GH
A/Ghana/1818/2024	3C.2a1b.2a.2a.3a.1	2a.3a.1	J.2	Ghana	GH
A/Ghana/1786/2024	3C.2a1b.2a.2a.3a.1	2a.3a.1	J.2	Ghana	GH
A/Mauritius/I-176/2024	3C.2a1b.2a.2a.3a.1	2a.3a.1	J.2.2	Mauritius	MU
A/Mauritius/I-183/2024	3C.2a1b.2a.2a.3a.1	2a.3a.1	J.2	Mauritius	MU
A/Mauritius/I-181/2024	3C.2a1b.2a.2a.3a.1	2a.3a.1	J.2.2	Mauritius	MU
A/Mauritius/I-186/2024	3C.2a1b.2a.2a.3a.1	2a.3a.1	J.2	Mauritius	MU
A/Mauritius/I-185/2024	3C.2a1b.2a.2a.3a.1	2a.3a.1	J.2.2	Mauritius	MU
A/Ghana/FS-24-7406/2024	3C.2a1b.2a.2a.3a.1	2a.3a.1	J.2	Ghana	GH
A/Ghana/FS-24-7405/2024	3C.2a1b.2a.2a.3a.1	2a.3a.1	J.2	Ghana	GH
A/Ghana/FS-24-7394/2024	3C.2a1b.2a.2a.3a.1	2a.3a.1	J.2	Ghana	GH
A/Ghana/FS-24-7328/2024	3C.2a1b.2a.2a.3a.1	2a.3a.1	J.2	Ghana	GH
A/Ghana/FS-24-7259/2024	3C.2a1b.2a.2a.3a.1	2a.3a.1	J.2	Ghana	GH
A/Ghana/FS-24-7198/2024	3C.2a1b.2a.2a.3a.1	2a.3a.1	J.2	Ghana	GH
A/Ghana/FS-24-7129/2024	3C.2a1b.2a.2a.3a.1	2a.3a.1	J.2	Ghana	GH
A/Ghana/FS-24-7113/2024	3C.2a1b.2a.2a.3a.1	2a.3a.1	J.2	Ghana	GH
A/Ghana/FS-24-7456/2024	3C.2a1b.2a.2a.3a.1	2a.3a.1	J.2	Ghana	GH
A/Ghana/FS-24-7450/2024	3C.2a1b.2a.2a.3a.1	2a.3a.1	J.2	Ghana	GH
A/Ghana/FS-24-7444/2024	3C.2a1b.2a.2a.3a.1	2a.3a.1	J.2	Ghana	GH
