tax_id	accession	size	species	genus	family	brief	description	num_reads	cov_bases	coverage	mean_depth	mean_baseq	mean_mapq
108098	JX423386.1	35498	Human mastadenovirus B (108098)	Mastadenovirus (10509)	Adenoviridae (10508)	Human mastadenovirus B	Human adenovirus B strain human/ARG/ak38_AdV7h/2003/7[P7H7F7], complete genome	983	21763	61.3077	3.56691	33.6	5.29
45659	AY599834.1	35345	Human mastadenovirus B (108098)	Mastadenovirus (10509)	Adenoviridae (10508)	Human adenovirus B3	Human adenovirus type 3 strain GB, complete genome	365	13704	38.7721	1.31727	33.6	1.2
260047	JN860679.1	35228	Human mastadenovirus B (108098)	Mastadenovirus (10509)	Adenoviridae (10508)	Human adenovirus 3+7	Human adenovirus 3+7 strain Takeuchi, complete genome	371	13333	37.8477	1.29491	33.6	1.59
10519	AC_000018.1	35514	Human mastadenovirus B (108098)	Mastadenovirus (10509)	Adenoviridae (10508)	Human adenovirus 7	Human adenovirus type 7, complete genome	797	19772	55.6738	2.86805	33.6	4.46
1096763	JN860678.1	35538	Human mastadenovirus B (108098)	Mastadenovirus (10509)	Adenoviridae (10508)	Human adenovirus 68	Human adenovirus 68 strain Arg 827/04, complete genome	120	6652	18.718	0.402077	33.5	1.52
31544	AY601636.1	35522	Human mastadenovirus B (108098)	Mastadenovirus (10509)	Adenoviridae (10508)	Human adenovirus 16	Human adenovirus type 16 strain ch. 79, complete genome	101	7009	19.7314	0.332611	33.6	1.23
459785	EF564601.1	35355	Human mastadenovirus B (108098)	Mastadenovirus (10509)	Adenoviridae (10508)	Human adenovirus 3+11p	Human adenovirus 3+11p strain OvAd2, complete genome	315	9670	27.3512	1.14852	33.6	0.962
32608	KJ364591.1	35387	Human mastadenovirus B (108098)	Mastadenovirus (10509)	Adenoviridae (10508)	Human adenovirus 21	Human adenovirus 21 strain VRDL T87-0342, complete genome	114	5312	15.0112	0.388193	33.6	1.04
107462	AY737798.1	35385	Human mastadenovirus B (108098)	Mastadenovirus (10509)	Adenoviridae (10508)	Human adenovirus 50	Human adenovirus type 50 strain Wan, complete genome	90	5694	16.0916	0.291338	33.6	0.878
585067	FJ025908.1	35694	Human mastadenovirus B (108098)	Mastadenovirus (10509)	Adenoviridae (10508)	Simian adenovirus 33	Simian adenovirus 33, complete genome	21	1375	3.85219	0.054575	33.6	0.762
3050295	OR546126.1	235213	Cytomegalovirus humanbeta5 (3050295)	Cytomegalovirus (10358)	Orthoherpesviridae (3044472)	Cytomegalovirus humanbeta5	Cytomegalovirus humanbeta5 strain FFPE-35, complete genome	423	8047	3.42115	0.100241	33.6	3.79
10359	KX544840.1	223782	Cytomegalovirus humanbeta5 (3050295)	Cytomegalovirus (10358)	Orthoherpesviridae (3044472)	Human betaherpesvirus 5	Human betaherpesvirus 5 isolate UXCA_Merck_UNC, complete genome	99	9350	4.17817	0.0528818	33.6	8.67
11250	MN108243.1	15287	Orthopneumovirus hominis (3049954)	Orthopneumovirus (1868215)	Pneumoviridae (11244)	Human orthopneumovirus	UNVERIFIED: Human orthopneumovirus strain 318590_R1.fastq.gz/USA, complete genome	15984	14395	94.165	138.279	33.5	4.57
208895	OQ941660.1	15005	Orthopneumovirus hominis (3049954)	Orthopneumovirus (1868215)	Pneumoviridae (11244)	Human respiratory syncytial virus B	Human respiratory syncytial virus B strain RSVB/Australia/80_S79/2018, partial genome	9322	11519	76.7677	83.0481	33.5	2.67
12814	JN032118.1	15151	Orthopneumovirus bovis (3050248)	Orthopneumovirus (1868215)	Pneumoviridae (11244)	Respiratory syncytial virus	Respiratory syncytial virus strain B/WI/629-DC8/08-09, partial genome	5467	9393	61.9959	47.0618	33.5	1.52
208893	OQ941773.1	14740	Orthopneumovirus hominis (3049954)	Orthopneumovirus (1868215)	Pneumoviridae (11244)	Human respiratory syncytial virus A	Human respiratory syncytial virus A strain RSVA/Australia/7545B_S6/2018, partial genome	1072	3013	20.441	9.92381	33.5	0.992
68887	MN768543.1	2980	Torque teno virus (68887)	n/a	Anelloviridae (687329)	Torque teno virus	MAG: Torque teno virus isolate SAfiA-388-60 ORF1 gene, complete cds	59	1924	64.5638	2.52886	33.6	11.1
2055263	MH648990.1	3008	Anelloviridae sp. (2055263)	n/a	Anelloviridae (687329)	Anelloviridae sp.	MAG: Anelloviridae sp. isolate cthf001, complete genome	26	962	31.9814	1.05186	33.5	3.19
1712394	KR025792.1	876	untyped Human Mastadenovirus (1712394)	Mastadenovirus (10509)	Adenoviridae (10508)	untyped Human Mastadenovirus	Untyped Human Mastadenovirus isolate 2961 hexon protein gene, partial cds	23	482	55.0228	3.06164	33.7	6.74
1615611	OP690264.1	684	Orthopneumovirus hominis (3049954)	Orthopneumovirus (1868215)	Pneumoviridae (11244)	Respiratory syncytial virus type B	Respiratory syncytial virus type B strain TVGH-A33 attachment glycoprotein (G) gene, partial cds	74	606	88.5965	8.84942	33.4	1.45
2050578	ON156658.1	812	Mastadenovirus sp. (2050578)	Mastadenovirus (10509)	Adenoviridae (10508)	Mastadenovirus sp.	UNVERIFIED: Mastadenovirus sp. isolate HAdV-S41 sequence	30	589	72.5369	4.85837	33.6	9.47
10535	LR745960.1	647	unidentified adenovirus (10535)	Mastadenovirus (10509)	Adenoviridae (10508)	unidentified adenovirus	Adenovirus partial hexon gene for hexon, isolate IFIK_723332	46	568	87.7898	9.38794	33.6	15.8
2202565	OP549861.1	2120	Genomoviridae sp. (2202565)	n/a	Genomoviridae (1910928)	Genomoviridae sp.	Genomoviridae sp. isolate UC145V1_C621, complete genome	4	371	17.5	0.27217	33.4	44
